path	file_kind	size_bytes	sha256	git_tracked	primary_block	secondary_blocks	preliminary_lifecycle	classification_confidence	generated_output_candidate
Makefile	operator_surface	35129	1dbb9d37aada8b97fc82bdead4205a9eec877d08d62939b47e518329591faa22	True	06_coordination_governance_intake	05_validation_tests_quality	legacy_candidate	high	False
README.md	document	3963	9e071dc15b5ee6860fd84afa3ab9c5610fc9e4b460c8d9af971f2f0b686f70f8	True	07_documentation_architecture		current_candidate	high	False
app/forprint_library/__init__.py	source_or_other	57	e7f93c5d4542d02653e1886c07d7a57487bf5d1936548caea6bf97caa06a1eba	True	10_legacy_unknown_unclassified		technical_scaffolding	high	False
app/forprint_library/calculator_input/__init__.py	source_or_other	662	a479c324f4121a01d5859ed7d18972a22eab62edf24ed3bc1c2e00898279fc58	True	03_contracts_cross_module_consumption		current_candidate	medium	False
app/forprint_library/calculator_input/contract.py	source_or_other	20193	c3467f38d1747ce17cfeab77f3b32faf7cecf4a031eb14c692ca1c73b3adedd8	True	03_contracts_cross_module_consumption		current_candidate	medium	False
app/forprint_library/catalog/__init__.py	source_or_other	369	ca347ed6d310e838663faa28ac1f9eb765b07dc6e14f9244362be17b911d1309	True	01_domain_semantics_catalog		current_candidate	high	False
app/forprint_library/catalog/loader.py	source_or_other	1180	b9061c8d5077e2ef9b90abce58cbf3bf2e418740aa4e17fb158111161233f303	True	01_domain_semantics_catalog		current_candidate	high	False
app/forprint_library/catalog/models.py	source_or_other	1311	7666d3323eeb34575fe6135518453c9fc9193c8e09b25b06b7da86f16cbee2b1	True	01_domain_semantics_catalog		current_candidate	high	False
app/forprint_library/catalog/registry.py	source_or_other	1889	4accda5226cfcb36b5479dd867e70bff4e3a42ae3acc0200f9a88c78ca924122	True	02_dictionaries_resolution_profiles		current_candidate	medium	False
app/forprint_library/catalog/validation.py	source_or_other	5772	15a9659a4773301d2eb6a54e1663a6d990b5c4ad9aec3b01327722650b121710	True	01_domain_semantics_catalog	05_validation_tests_quality	current_candidate	high	False
